question,distractor,answer
"1) Група от органи, които работят съгласувано и изпълняват определена функция се наричат:",организъм,
,система,1
,клетка,
,тъкан,
2) Класифицирането на организмите в групи (таксони) се извършва в зависимост от:,начина на хранене,
,средата в която живеят,
,значението им за човека,
,родствените връзки между тях,1
3) Бактериите:,са прокариотни организми,1
,са еукариотни организми,
,се движат чрез псевдоподи,
,се размножават полово,
4) Доматът е:,талусно растение,
,спорово растение,
,голосеменно растение,
,покритосеменно растение,1
5) Даден организъм принадлежи към царство Монера ако:,е многоклетъчен организъм,
,притежава вакуола,
,се е появил на Земята след насекомите,
,няма обособено ядро,1
"6) Клетките на растенията, за разлика от тези на животните притежават:",Ядро,
,Митохондрии,
,Пластиди,1,
,Клетъчна мембрана
7) Кое от твърденията е вярно за представителите на царство Гъби?,Клетките им нямат обособено ядро,
,В клетките им има хлоропласти,
,Те са едноклетъчни организми,
,Хранят се несамостойно,1
8) Кое от  животните притежава мрежест тип нервна система?,чернодробен метил,
,дъждовен червей,
,ушата медуза,1
,лисица,
9) Кое от твърденията за Цианобактериите е вярно?,Те са паразити,
,Те са еукариотни организми,
,Хранят се хетеротрофно,
,Могат да фотосинтезират,1
10) Кой от изброените таксони включва всички останали?,вид,
,род,
,тип,1
,семейство,
"11) За разлика от бактериите, цианобактериите:",принадлежат към царство Монера,
,имат обособено ядро,
,имат клетъчна мебрана и клетъчна стена,
,имат мембрани с хлорофил в цитоплазмата си,1
"12) За представителите на тип Камшичести е вярно, че:",Имат реснички,
,Движат се с псевдоподи,
,Имат обособено ядро,1
,Нямат рибозоми,
13) Резервните хранителни вещества в семето на фасула се натрупват в:,зародишните листа (семедели),1
,зародишното стъбълце,
,зародишното коренче,
,семенната обвивка,
"14) Кормусните растения, за разлика от талусните:",имат корен,1
,фотосинтезират,
,са аеробни организми,
,се размножават полово и безполово,
"15) Пресметнете колко общо са крайниците на една калинка, един комар и един паяк?",12,
,18,
,20,1
,24,
"16) Пресметнете колко общо са крайниците на един бръмбър, една муха и един паяк?",12,
,18,
,20,1
,24,
17) Към кой тип се отнасят паяците?,Тип Мекотели,
,Тип Кръгли червеи,
,Тип мешести,
,Тип Членестоноги,1
18) Към кой тип се отнася домашната муха?,Тип Мекотели,
,Тип Кръгли червеи,
,Тип мешести,
,Тип Членестоноги,1
19) Към кое царство се отнасятсиньо-зелените водорасли?,Царство Монера,1
,Царство Гъби,
,Царство Растения,
,Царство Животни,
"20) За амебите е вярно, че:",са прокариотни организми,
,имат обособено ядро,1
,движат се с реснични,
,фотосинтезират,
21) В коя от комбинациите таксоните са подредени правилно?,"вид,род,семейство, разред, клас, тип",1
,"вид,род, семейство,клас,разред, тип",
,"род,вид, клас, семейство, разред, тип",
,"род, клас, род, разред, семейство, тип",
22) Чернодробният метил и свинската тения са  животни с плоско тяло и се отнасят към един и същи:,тип,1
,отдел,
,род,
,вид,
"23) Кой от признаците е типичен за гъбите, но не и за растенията?",те са многоклетъчни организми,
,имат непрекъснат растеж,
,хранят се несамостойно,1
,имат клетъчна стена и ядро,
24) В хлебопроизводството за набухване на тестото се използва,мухъл,
,плесени,
,дрожди,1
,архебактерии,
25) При неблагоприятни условия повечето бактерии,загиват,
,натрупват хранителни вещества,
,активно се размножават,
,образуват спори,1
26) Покритосеменните растения за разлика от голосеменните имат:,клетъчен строеж,
,корен и стъбло,
,полово размножаване,
,плод и семе,1
27) Таксонът (систематичната група) с най-висок ранг в класификацията на организмите е:,вид,
,разред,
,род,
,тип,1
28) Таксонът (систематичната група) с най-нисък ранг в класификацията на организмите е:,вид,1
,разред,
,род,
,тип,
29) Кой от посочените таксони (систематични групи) включва в себе си всички останали:,род,
,тип,1
,семейство,
,разред,
30) Кой от посочените таксони (систематични групи) включва в себе си всички останали:,разред,
,царство,1
,семейство,
,род,
"31) За коренът на растенията е вярно, че:",увеличава САМО дължината си,
,има ограничен растеж,
,прикрепя растенията към почвата,1
,в него се извършва самостойно хранене,
"31) За листата на растенията е вярно, че:",са основни органи за размножаване,
,имат ограничен растеж,
,прикрепя растенията към почвата,
,в тях се извършва фотосинтеза,1
32) При кои от посочените растения се образува плод:,мъхове,
,хвощове,
,папрати,
,покритосеменни,1
33) При кои от посочените видове растения се образува плод:,мъжка папрат,
,полски хвощ,
,листнат мъх,
,патладжан,1
35) Кои от посочените растения са едносемеделни:,лале и момина сълза,1
,ряпа и зеле,
,невен и слънчоглед,
,грах и фасул,
36) Кои от посочените растения са едносемеделни:,царевица и пшеница,1
,грах и фасул,
,бадем и роза,
,зеле и слънчоглед,
37) Кое от посочените растения е двесемеделно?,царевица ,
,пшеница,
,лале,
,роза,1
38) Кое от посочените растения е двусемеделно?,момина сълза,
,лале,
,царевица,
,фасул,1
39) Към семейство Сложноцветни принадлежат:,ягода и малина,
,невен и слънчоглед,1
,лале и зюмбюл,
,грах и детелина,
40) Кое от растенията принадлежи към семейство Сложноцветни?,слънчоглед,1
,лале,
,роза,
,грах,
41) При кой от видовете животни има верижна нервна система?,медуза,
,дъждовен червей,1
,хидра,
,змия,
42) При кой от видовете животни има дифузна нервна система?,медуза,1
,дъждовен червей,
,таралеж,
,змия,
43) При кой от видовете животни има верижна нервна система?,медуза,
,мравка,1
,таралеж,
,змия,
44) При кой от видовете животни има тръбеста нервна система?,медуза,
,мравка,
,таралеж,1
,хидра,
"45) При кой от представените видове животни има както полово, така и безполово размножаване?",змия,
,мравка,
,таралеж,
,хидра,1
46) Коя от болестите се причинява от бактерии?,туберкулоза,1
,СПИН,
,грип,
,хепатит,
47) Коя от болестите се причинява от вируси?,туберкулоза,
